# k, phh, phm/ 
1.2538e+00 8.9127e+02 1.5135e+02
1.2579e+00 8.8855e+02 1.5049e+02
1.2619e+00 8.8731e+02 1.5003e+02
1.2660e+00 8.8603e+02 1.4966e+02
1.2701e+00 8.8640e+02 1.4940e+02
1.2742e+00 8.8397e+02 1.4880e+02
1.2783e+00 8.7998e+02 1.4798e+02
1.2824e+00 8.8080e+02 1.4775e+02
1.2865e+00 8.7767e+02 1.4696e+02
1.2906e+00 8.7759e+02 1.4674e+02
1.2947e+00 8.7545e+02 1.4602e+02
1.2988e+00 8.7290e+02 1.4535e+02
1.3029e+00 8.7305e+02 1.4507e+02
1.3069e+00 8.6975e+02 1.4431e+02
1.3110e+00 8.6854e+02 1.4386e+02
1.3151e+00 8.6590e+02 1.4309e+02
1.3192e+00 8.6663e+02 1.4275e+02
1.3233e+00 8.6439e+02 1.4232e+02
1.3274e+00 8.6312e+02 1.4201e+02
1.3315e+00 8.6148e+02 1.4145e+02
1.3356e+00 8.6112e+02 1.4112e+02
1.3397e+00 8.5790e+02 1.4047e+02
1.3438e+00 8.5745e+02 1.4013e+02
1.3479e+00 8.5528e+02 1.3948e+02
1.3519e+00 8.5299e+02 1.3882e+02
1.3560e+00 8.5522e+02 1.3872e+02
1.3601e+00 8.5138e+02 1.3813e+02
1.3642e+00 8.5213e+02 1.3797e+02
1.3683e+00 8.4786e+02 1.3708e+02
1.3724e+00 8.4562e+02 1.3636e+02
1.3765e+00 8.4447e+02 1.3597e+02
1.3806e+00 8.4473e+02 1.3585e+02
1.3847e+00 8.4136e+02 1.3506e+02
1.3888e+00 8.4079e+02 1.3467e+02
1.3928e+00 8.3960e+02 1.3424e+02
1.3969e+00 8.3670e+02 1.3366e+02
1.4010e+00 8.3641e+02 1.3323e+02
1.4051e+00 8.3512e+02 1.3316e+02
1.4092e+00 8.3530e+02 1.3267e+02
1.4133e+00 8.3297e+02 1.3238e+02
1.4174e+00 8.3119e+02 1.3165e+02
1.4215e+00 8.3075e+02 1.3149e+02
1.4256e+00 8.2819e+02 1.3088e+02
1.4297e+00 8.2690e+02 1.3043e+02
1.4338e+00 8.2560e+02 1.2973e+02
1.4378e+00 8.2427e+02 1.2965e+02
1.4419e+00 8.2435e+02 1.2948e+02
1.4460e+00 8.2139e+02 1.2870e+02
1.4501e+00 8.2089e+02 1.2832e+02
1.4542e+00 8.1926e+02 1.2794e+02
1.4583e+00 8.1779e+02 1.2746e+02
1.4624e+00 8.1631e+02 1.2707e+02
1.4665e+00 8.1399e+02 1.2643e+02
1.4706e+00 8.1341e+02 1.2619e+02
1.4747e+00 8.1233e+02 1.2593e+02
1.4787e+00 8.1167e+02 1.2574e+02
1.4828e+00 8.1044e+02 1.2501e+02
1.4869e+00 8.0891e+02 1.2467e+02
1.4910e+00 8.0692e+02 1.2417e+02
1.4951e+00 8.0531e+02 1.2362e+02
1.4992e+00 8.0396e+02 1.2342e+02
1.5033e+00 8.0289e+02 1.2316e+02
1.5074e+00 8.0158e+02 1.2270e+02
1.5115e+00 8.0123e+02 1.2237e+02
1.5156e+00 7.9932e+02 1.2179e+02
1.5197e+00 7.9865e+02 1.2135e+02
1.5237e+00 7.9733e+02 1.2120e+02
1.5278e+00 7.9514e+02 1.2057e+02
1.5319e+00 7.9303e+02 1.2011e+02
1.5360e+00 7.9169e+02 1.1977e+02
1.5401e+00 7.9021e+02 1.1918e+02
1.5442e+00 7.9125e+02 1.1926e+02
1.5483e+00 7.8831e+02 1.1858e+02
1.5524e+00 7.8671e+02 1.1800e+02
1.5565e+00 7.8623e+02 1.1794e+02
1.5606e+00 7.8419e+02 1.1747e+02
1.5646e+00 7.8325e+02 1.1720e+02
1.5687e+00 7.8362e+02 1.1700e+02
1.5728e+00 7.8077e+02 1.1633e+02
1.5769e+00 7.8003e+02 1.1633e+02
1.5810e+00 7.7829e+02 1.1568e+02
1.5851e+00 7.7664e+02 1.1537e+02
1.5892e+00 7.7521e+02 1.1479e+02
1.5933e+00 7.7432e+02 1.1448e+02
1.5974e+00 7.7394e+02 1.1448e+02
1.6015e+00 7.7265e+02 1.1390e+02
1.6056e+00 7.6988e+02 1.1349e+02
1.6096e+00 7.6793e+02 1.1292e+02
1.6137e+00 7.7009e+02 1.1305e+02
1.6178e+00 7.6674e+02 1.1239e+02
1.6219e+00 7.6567e+02 1.1193e+02
1.6260e+00 7.6580e+02 1.1182e+02
1.6301e+00 7.6272e+02 1.1138e+02
1.6342e+00 7.6206e+02 1.1101e+02
1.6383e+00 7.6043e+02 1.1062e+02
1.6424e+00 7.6007e+02 1.1043e+02
1.6465e+00 7.5927e+02 1.1014e+02
1.6506e+00 7.5837e+02 1.1000e+02
1.6546e+00 7.5644e+02 1.0936e+02
1.6587e+00 7.5528e+02 1.0900e+02
1.6628e+00 7.5342e+02 1.0874e+02
1.6669e+00 7.5225e+02 1.0830e+02
1.6710e+00 7.5123e+02 1.0809e+02
1.6751e+00 7.5080e+02 1.0771e+02
1.6792e+00 7.4987e+02 1.0757e+02
1.6833e+00 7.4728e+02 1.0701e+02
1.6874e+00 7.4561e+02 1.0649e+02
1.6915e+00 7.4460e+02 1.0626e+02
1.6955e+00 7.4350e+02 1.0584e+02
1.6996e+00 7.4333e+02 1.0571e+02
1.7037e+00 7.4142e+02 1.0526e+02
1.7078e+00 7.3994e+02 1.0499e+02
1.7119e+00 7.3980e+02 1.0480e+02
1.7160e+00 7.3784e+02 1.0435e+02
1.7201e+00 7.3617e+02 1.0402e+02
1.7242e+00 7.3473e+02 1.0355e+02
1.7283e+00 7.3468e+02 1.0353e+02
1.7324e+00 7.3467e+02 1.0334e+02
1.7365e+00 7.3197e+02 1.0281e+02
1.7405e+00 7.3123e+02 1.0255e+02
1.7446e+00 7.2919e+02 1.0209e+02
