# Galaxy (HOD) auto- and cross-power spectra.
# Robust average of 9 spectra using sqrt(1+x^2).
# z=1.000
#      k[h/Mpc]           <Phh>        Err[Phh]           <Phm>        Err[Phm]
    7.62890e-01     1.09149e+03     1.72313e+00     2.47885e+02     3.35308e-01
    7.66990e-01     1.08856e+03     2.16715e+00     2.46435e+02     2.30467e-01
    7.71070e-01     1.08458e+03     2.66942e+00     2.44864e+02     3.96801e-01
    7.75150e-01     1.08252e+03     2.22670e+00     2.43598e+02     3.21642e-01
    7.79240e-01     1.07743e+03     2.91087e+00     2.42027e+02     5.72733e-01
    7.83340e-01     1.07546e+03     2.31500e+00     2.40588e+02     2.33112e-01
    7.87430e-01     1.07126e+03     2.62947e+00     2.39070e+02     5.19852e-01
    7.91510e-01     1.06796e+03     2.70014e+00     2.37148e+02     4.50064e-01
    7.95610e-01     1.06409e+03     1.02697e+00     2.36225e+02     3.80506e-01
    7.99700e-01     1.06154e+03     2.40153e+00     2.34852e+02     5.15086e-01
    8.03800e-01     1.05875e+03     1.67993e+00     2.33576e+02     4.08025e-01
    8.07880e-01     1.05317e+03     2.06521e+00     2.31666e+02     3.48640e-01
    8.11960e-01     1.05238e+03     3.67571e+00     2.30834e+02     5.57968e-01
    8.16060e-01     1.04938e+03     2.78662e+00     2.29389e+02     5.00850e-01
    8.20150e-01     1.04420e+03     9.11993e-01     2.27677e+02     3.08124e-01
    8.24240e-01     1.04160e+03     1.36049e+00     2.26716e+02     4.37813e-01
    8.28330e-01     1.04061e+03     2.34003e+00     2.25512e+02     3.84860e-01
    8.32430e-01     1.03629e+03     2.79523e+00     2.23793e+02     5.20489e-01
    8.36520e-01     1.03274e+03     2.11812e+00     2.22863e+02     4.68751e-01
    8.40610e-01     1.03016e+03     2.35331e+00     2.21502e+02     3.53247e-01
    8.44700e-01     1.02764e+03     3.59195e+00     2.20316e+02     3.49992e-01
    8.48790e-01     1.02394e+03     3.18596e+00     2.18922e+02     3.55192e-01
    8.52880e-01     1.02256e+03     3.53092e+00     2.18128e+02     6.78077e-01
    8.56970e-01     1.01847e+03     1.18945e+00     2.16672e+02     3.14669e-01
    8.61060e-01     1.01644e+03     1.86861e+00     2.15678e+02     4.01476e-01
    8.65150e-01     1.01416e+03     2.02189e+00     2.14525e+02     3.53290e-01
    8.69230e-01     1.00984e+03     1.38786e+00     2.13272e+02     1.97056e-01
    8.73330e-01     1.00829e+03     1.59642e+00     2.12232e+02     1.70390e-01
    8.77430e-01     1.00405e+03     1.84148e+00     2.10836e+02     3.94799e-01
    8.81510e-01     1.00350e+03     2.48485e+00     2.10007e+02     4.04338e-01
    8.85600e-01     9.99677e+02     1.13448e+00     2.08576e+02     1.72843e-01
    8.89690e-01     9.96266e+02     2.01591e+00     2.07627e+02     2.66109e-01
    8.93780e-01     9.95651e+02     2.25271e+00     2.06961e+02     2.27812e-01
    8.97880e-01     9.90785e+02     2.02069e+00     2.05420e+02     3.73039e-01
    9.01960e-01     9.89013e+02     2.61983e+00     2.04515e+02     3.68970e-01
    9.06050e-01     9.88185e+02     2.42689e+00     2.03898e+02     4.82644e-01
    9.10150e-01     9.83633e+02     1.92442e+00     2.02439e+02     2.44287e-01
    9.14240e-01     9.81737e+02     2.95305e+00     2.01313e+02     3.76050e-01
    9.18330e-01     9.79044e+02     2.53106e+00     2.00312e+02     5.56964e-01
    9.22420e-01     9.76130e+02     2.10508e+00     1.99479e+02     4.97367e-01
    9.26510e-01     9.73871e+02     2.51041e+00     1.98267e+02     3.38369e-01
    9.30600e-01     9.71675e+02     1.80536e+00     1.97407e+02     9.29919e-02
    9.34690e-01     9.67975e+02     1.44880e+00     1.96219e+02     3.54361e-01
    9.38790e-01     9.66125e+02     1.78800e+00     1.95290e+02     3.18917e-01
    9.42870e-01     9.65607e+02     3.60409e+00     1.94545e+02     4.49116e-01
    9.46960e-01     9.63039e+02     2.57370e+00     1.93596e+02     3.52421e-01
    9.51050e-01     9.60798e+02     2.79756e+00     1.92628e+02     3.26593e-01
    9.55150e-01     9.56916e+02     1.54480e+00     1.91584e+02     1.58829e-01
    9.59240e-01     9.54932e+02     9.83633e-01     1.90856e+02     2.80609e-01
    9.63330e-01     9.52578e+02     2.68594e+00     1.89756e+02     4.46114e-01
    9.67420e-01     9.50464e+02     1.95661e+00     1.89061e+02     1.86992e-01
    9.71510e-01     9.48166e+02     1.79964e+00     1.88026e+02     3.88721e-01
    9.75590e-01     9.45838e+02     2.15704e+00     1.86956e+02     2.43794e-01
    9.79680e-01     9.43538e+02     1.37499e+00     1.86522e+02     2.76873e-01
    9.83770e-01     9.42075e+02     1.71353e+00     1.85435e+02     3.59556e-01
    9.87870e-01     9.39906e+02     2.23141e+00     1.84522e+02     2.34080e-01
    9.91960e-01     9.36724e+02     1.61202e+00     1.83606e+02     1.62768e-01
    9.96050e-01     9.36104e+02     1.94840e+00     1.83026e+02     3.06385e-01
    1.00020e+00     9.32812e+02     2.45165e+00     1.81929e+02     3.82891e-01
    1.00420e+00     9.30947e+02     1.43172e+00     1.81116e+02     2.80456e-01
    1.00830e+00     9.28867e+02     1.70679e+00     1.80440e+02     2.41900e-01
    1.01240e+00     9.27047e+02     1.81175e+00     1.79536e+02     2.31368e-01
    1.01650e+00     9.25352e+02     1.95398e+00     1.78978e+02     2.51607e-01
    1.02060e+00     9.22303e+02     1.27198e+00     1.77758e+02     4.07836e-01
    1.02470e+00     9.20840e+02     2.16655e+00     1.77237e+02     2.65556e-01
    1.02880e+00     9.18291e+02     2.19134e+00     1.76223e+02     2.61389e-01
    1.03290e+00     9.16429e+02     1.61057e+00     1.75553e+02     3.82858e-01
    1.03700e+00     9.14815e+02     2.09930e+00     1.74882e+02     2.32207e-01
    1.04100e+00     9.12520e+02     1.51414e+00     1.73977e+02     1.65980e-01
    1.04510e+00     9.10046e+02     1.62347e+00     1.73186e+02     2.90285e-01
    1.04920e+00     9.08861e+02     1.96275e+00     1.72526e+02     1.75068e-01
    1.05330e+00     9.07059e+02     1.56731e+00     1.71809e+02     2.47218e-01
    1.05740e+00     9.04128e+02     1.25417e+00     1.70971e+02     2.13444e-01
    1.06150e+00     9.03286e+02     1.89422e+00     1.70385e+02     2.50116e-01
    1.06560e+00     9.00925e+02     1.98646e+00     1.69576e+02     2.02300e-01
    1.06970e+00     8.99170e+02     1.73055e+00     1.68922e+02     2.30337e-01
    1.07380e+00     8.97214e+02     1.96344e+00     1.68140e+02     2.98912e-01
    1.07790e+00     8.95394e+02     1.93646e+00     1.67403e+02     1.71046e-01
    1.08200e+00     8.93824e+02     1.96882e+00     1.66789e+02     2.59428e-01
    1.08600e+00     8.90873e+02     1.10907e+00     1.66043e+02     3.01018e-01
    1.09010e+00     8.90357e+02     1.96358e+00     1.65308e+02     2.38615e-01
    1.09420e+00     8.87898e+02     1.07198e+00     1.64852e+02     1.25294e-01
    1.09830e+00     8.87007e+02     9.27195e-01     1.64209e+02     1.64900e-01
    1.10240e+00     8.85872e+02     2.25981e+00     1.63507e+02     1.89146e-01
    1.10650e+00     8.82950e+02     1.64011e+00     1.62659e+02     2.25063e-01
    1.11060e+00     8.80986e+02     2.13043e+00     1.61947e+02     3.55932e-01
    1.11470e+00     8.79016e+02     1.34444e+00     1.61288e+02     8.80989e-02
    1.11880e+00     8.77875e+02     2.88522e+00     1.60633e+02     2.36924e-01
    1.12290e+00     8.76551e+02     1.75430e+00     1.60183e+02     1.84549e-01
    1.12700e+00     8.75444e+02     2.07310e+00     1.59598e+02     2.58260e-01
    1.13100e+00     8.72073e+02     1.52090e+00     1.58612e+02     2.29379e-01
    1.13510e+00     8.70860e+02     2.08852e+00     1.58189e+02     2.89668e-01
    1.13920e+00     8.69846e+02     2.19333e+00     1.57657e+02     3.14828e-01
    1.14330e+00     8.66680e+02     1.21551e+00     1.56929e+02     1.66928e-01
    1.14740e+00     8.66631e+02     2.35990e+00     1.56371e+02     4.38427e-01
    1.15150e+00     8.64244e+02     1.96540e+00     1.55680e+02     6.91281e-02
