# k, phh, phm/ 
1.8346e+00 6.5350e+02 8.9562e+01
1.8387e+00 6.5310e+02 8.9400e+01
1.8428e+00 6.5273e+02 8.9157e+01
1.8469e+00 6.5171e+02 8.8821e+01
1.8510e+00 6.4903e+02 8.8285e+01
1.8551e+00 6.5014e+02 8.8294e+01
1.8592e+00 6.4782e+02 8.7946e+01
1.8633e+00 6.4609e+02 8.7633e+01
1.8674e+00 6.4595e+02 8.7473e+01
1.8715e+00 6.4516e+02 8.7251e+01
1.8755e+00 6.4298e+02 8.6828e+01
1.8796e+00 6.4295e+02 8.6607e+01
1.8837e+00 6.4136e+02 8.6336e+01
1.8878e+00 6.4008e+02 8.6100e+01
1.8919e+00 6.3897e+02 8.5806e+01
1.8960e+00 6.3916e+02 8.5634e+01
1.9001e+00 6.3626e+02 8.5199e+01
1.9042e+00 6.3689e+02 8.5178e+01
1.9083e+00 6.3525e+02 8.4933e+01
1.9124e+00 6.3465e+02 8.4639e+01
1.9164e+00 6.3331e+02 8.4445e+01
1.9205e+00 6.3242e+02 8.4036e+01
1.9246e+00 6.3065e+02 8.3679e+01
1.9287e+00 6.3074e+02 8.3637e+01
1.9328e+00 6.2951e+02 8.3335e+01
1.9369e+00 6.2787e+02 8.2939e+01
1.9410e+00 6.2677e+02 8.2722e+01
1.9451e+00 6.2615e+02 8.2540e+01
1.9492e+00 6.2494e+02 8.2333e+01
1.9533e+00 6.2271e+02 8.1852e+01
1.9573e+00 6.2293e+02 8.1831e+01
1.9614e+00 6.2288e+02 8.1669e+01
1.9655e+00 6.2152e+02 8.1417e+01
1.9696e+00 6.2000e+02 8.1079e+01
1.9737e+00 6.1872e+02 8.0756e+01
1.9778e+00 6.1778e+02 8.0492e+01
1.9819e+00 6.1629e+02 8.0195e+01
1.9860e+00 6.1686e+02 8.0218e+01
1.9901e+00 6.1513e+02 7.9864e+01
1.9942e+00 6.1547e+02 7.9813e+01
1.9983e+00 6.1290e+02 7.9369e+01
2.0024e+00 6.1237e+02 7.9189e+01
2.0064e+00 6.1169e+02 7.9026e+01
2.0105e+00 6.1030e+02 7.8608e+01
2.0146e+00 6.1003e+02 7.8543e+01
2.0187e+00 6.0788e+02 7.8134e+01
2.0228e+00 6.0731e+02 7.7982e+01
2.0269e+00 6.0639e+02 7.7773e+01
2.0310e+00 6.0489e+02 7.7344e+01
2.0351e+00 6.0400e+02 7.7212e+01
2.0392e+00 6.0261e+02 7.6942e+01
2.0433e+00 6.0165e+02 7.6673e+01
2.0473e+00 6.0083e+02 7.6501e+01
2.0514e+00 5.9997e+02 7.6272e+01
2.0555e+00 5.9862e+02 7.5969e+01
2.0596e+00 5.9828e+02 7.5908e+01
2.0637e+00 5.9768e+02 7.5762e+01
2.0678e+00 5.9617e+02 7.5434e+01
2.0719e+00 5.9585e+02 7.5379e+01
2.0760e+00 5.9477e+02 7.4953e+01
2.0801e+00 5.9293e+02 7.4686e+01
2.0842e+00 5.9253e+02 7.4565e+01
2.0883e+00 5.9032e+02 7.4248e+01
2.0923e+00 5.9049e+02 7.4046e+01
2.0964e+00 5.8896e+02 7.3744e+01
2.1005e+00 5.8860e+02 7.3567e+01
2.1046e+00 5.8683e+02 7.3336e+01
2.1087e+00 5.8612e+02 7.3041e+01
2.1128e+00 5.8591e+02 7.2973e+01
2.1169e+00 5.8450e+02 7.2661e+01
2.1210e+00 5.8333e+02 7.2459e+01
2.1251e+00 5.8243e+02 7.2269e+01
2.1292e+00 5.8187e+02 7.2068e+01
2.1332e+00 5.8118e+02 7.1893e+01
2.1373e+00 5.7955e+02 7.1555e+01
2.1414e+00 5.7787e+02 7.1271e+01
2.1455e+00 5.7706e+02 7.1051e+01
2.1496e+00 5.7599e+02 7.0909e+01
2.1537e+00 5.7578e+02 7.0771e+01
2.1578e+00 5.7457e+02 7.0522e+01
2.1619e+00 5.7355e+02 7.0263e+01
2.1660e+00 5.7282e+02 7.0129e+01
2.1701e+00 5.7152e+02 6.9827e+01
2.1742e+00 5.7076e+02 6.9628e+01
2.1782e+00 5.6996e+02 6.9478e+01
2.1823e+00 5.6806e+02 6.9155e+01
2.1864e+00 5.6831e+02 6.9040e+01
2.1905e+00 5.6692e+02 6.8882e+01
2.1946e+00 5.6568e+02 6.8593e+01
2.1987e+00 5.6440e+02 6.8297e+01
2.2028e+00 5.6420e+02 6.8226e+01
2.2069e+00 5.6347e+02 6.7992e+01
2.2110e+00 5.6132e+02 6.7688e+01
2.2151e+00 5.6112e+02 6.7564e+01
2.2191e+00 5.5966e+02 6.7320e+01
2.2232e+00 5.5861e+02 6.7073e+01
2.2273e+00 5.5837e+02 6.6992e+01
2.2314e+00 5.5728e+02 6.6701e+01
2.2355e+00 5.5628e+02 6.6506e+01
2.2396e+00 5.5550e+02 6.6387e+01
2.2437e+00 5.5435e+02 6.6111e+01
2.2478e+00 5.5326e+02 6.5975e+01
2.2519e+00 5.5199e+02 6.5618e+01
2.2560e+00 5.5217e+02 6.5555e+01
2.2601e+00 5.5161e+02 6.5364e+01
2.2642e+00 5.4953e+02 6.5111e+01
2.2682e+00 5.4871e+02 6.4915e+01
2.2723e+00 5.4683e+02 6.4543e+01
2.2764e+00 5.4643e+02 6.4471e+01
2.2805e+00 5.4578e+02 6.4319e+01
2.2846e+00 5.4513e+02 6.4093e+01
2.2887e+00 5.4398e+02 6.3893e+01
2.2928e+00 5.4311e+02 6.3720e+01
2.2969e+00 5.4201e+02 6.3480e+01
2.3010e+00 5.4045e+02 6.3245e+01
2.3051e+00 5.4008e+02 6.3117e+01
2.3091e+00 5.3890e+02 6.2891e+01
2.3132e+00 5.3789e+02 6.2706e+01
2.3173e+00 5.3738e+02 6.2554e+01
2.3214e+00 5.3636e+02 6.2335e+01
2.3255e+00 5.3508e+02 6.2078e+01
2.3296e+00 5.3437e+02 6.1920e+01
2.3337e+00 5.3341e+02 6.1744e+01
2.3378e+00 5.3237e+02 6.1533e+01
2.3419e+00 5.3148e+02 6.1331e+01
2.3460e+00 5.3116e+02 6.1256e+01
2.3500e+00 5.2956e+02 6.0949e+01
2.3541e+00 5.2922e+02 6.0905e+01
2.3582e+00 5.2762e+02 6.0581e+01
2.3623e+00 5.2726e+02 6.0413e+01
2.3664e+00 5.2569e+02 6.0188e+01
2.3705e+00 5.2483e+02 5.9956e+01
2.3746e+00 5.2463e+02 5.9942e+01
