# k, phh, phm/ 
1.8101e+00 5.8820e+02 1.9031e+02
1.8142e+00 5.8786e+02 1.8972e+02
1.8183e+00 5.8590e+02 1.8873e+02
1.8224e+00 5.8567e+02 1.8863e+02
1.8265e+00 5.8450e+02 1.8766e+02
1.8305e+00 5.8354e+02 1.8717e+02
1.8346e+00 5.8306e+02 1.8656e+02
1.8387e+00 5.8191e+02 1.8594e+02
1.8428e+00 5.8071e+02 1.8502e+02
1.8469e+00 5.8091e+02 1.8472e+02
1.8510e+00 5.7860e+02 1.8370e+02
1.8551e+00 5.7785e+02 1.8321e+02
1.8592e+00 5.7658e+02 1.8264e+02
1.8633e+00 5.7594e+02 1.8213e+02
1.8674e+00 5.7450e+02 1.8132e+02
1.8715e+00 5.7395e+02 1.8069e+02
1.8755e+00 5.7309e+02 1.7998e+02
1.8796e+00 5.7096e+02 1.7889e+02
1.8837e+00 5.7083e+02 1.7868e+02
1.8878e+00 5.6985e+02 1.7804e+02
1.8919e+00 5.6835e+02 1.7702e+02
1.8960e+00 5.6819e+02 1.7683e+02
1.9001e+00 5.6762e+02 1.7635e+02
1.9042e+00 5.6607e+02 1.7547e+02
1.9083e+00 5.6374e+02 1.7446e+02
1.9124e+00 5.6332e+02 1.7411e+02
1.9164e+00 5.6207e+02 1.7337e+02
1.9205e+00 5.6079e+02 1.7271e+02
1.9246e+00 5.6050e+02 1.7229e+02
1.9287e+00 5.5913e+02 1.7155e+02
1.9328e+00 5.5908e+02 1.7107e+02
1.9369e+00 5.5763e+02 1.7033e+02
1.9410e+00 5.5669e+02 1.6988e+02
1.9451e+00 5.5548e+02 1.6930e+02
1.9492e+00 5.5509e+02 1.6863e+02
1.9533e+00 5.5361e+02 1.6784e+02
1.9573e+00 5.5256e+02 1.6743e+02
1.9614e+00 5.5090e+02 1.6650e+02
1.9655e+00 5.4974e+02 1.6594e+02
1.9696e+00 5.5018e+02 1.6583e+02
1.9737e+00 5.4888e+02 1.6493e+02
1.9778e+00 5.4837e+02 1.6467e+02
1.9819e+00 5.4602e+02 1.6353e+02
1.9860e+00 5.4539e+02 1.6303e+02
1.9901e+00 5.4393e+02 1.6233e+02
1.9942e+00 5.4351e+02 1.6188e+02
1.9983e+00 5.4301e+02 1.6161e+02
2.0024e+00 5.4208e+02 1.6083e+02
2.0064e+00 5.4092e+02 1.6004e+02
2.0105e+00 5.3920e+02 1.5950e+02
2.0146e+00 5.3872e+02 1.5897e+02
2.0187e+00 5.3728e+02 1.5840e+02
2.0228e+00 5.3701e+02 1.5811e+02
2.0269e+00 5.3628e+02 1.5761e+02
2.0310e+00 5.3512e+02 1.5696e+02
2.0351e+00 5.3383e+02 1.5635e+02
2.0392e+00 5.3309e+02 1.5582e+02
2.0433e+00 5.3158e+02 1.5496e+02
2.0473e+00 5.3132e+02 1.5477e+02
2.0514e+00 5.3051e+02 1.5408e+02
2.0555e+00 5.2963e+02 1.5353e+02
2.0596e+00 5.2763e+02 1.5277e+02
2.0637e+00 5.2657e+02 1.5219e+02
2.0678e+00 5.2547e+02 1.5151e+02
2.0719e+00 5.2542e+02 1.5141e+02
2.0760e+00 5.2414e+02 1.5054e+02
2.0801e+00 5.2339e+02 1.5007e+02
2.0842e+00 5.2232e+02 1.4956e+02
2.0883e+00 5.2115e+02 1.4906e+02
2.0923e+00 5.2089e+02 1.4858e+02
2.0964e+00 5.1954e+02 1.4799e+02
2.1005e+00 5.1803e+02 1.4723e+02
2.1046e+00 5.1768e+02 1.4691e+02
2.1087e+00 5.1701e+02 1.4653e+02
2.1128e+00 5.1525e+02 1.4571e+02
2.1169e+00 5.1420e+02 1.4499e+02
2.1210e+00 5.1304e+02 1.4440e+02
2.1251e+00 5.1274e+02 1.4417e+02
2.1292e+00 5.1161e+02 1.4369e+02
2.1332e+00 5.1118e+02 1.4315e+02
2.1373e+00 5.0899e+02 1.4242e+02
2.1414e+00 5.0849e+02 1.4203e+02
2.1455e+00 5.0728e+02 1.4133e+02
2.1496e+00 5.0642e+02 1.4091e+02
2.1537e+00 5.0551e+02 1.4031e+02
2.1578e+00 5.0455e+02 1.3995e+02
2.1619e+00 5.0393e+02 1.3937e+02
2.1660e+00 5.0285e+02 1.3895e+02
2.1701e+00 5.0163e+02 1.3832e+02
2.1742e+00 5.0061e+02 1.3771e+02
2.1782e+00 5.0002e+02 1.3731e+02
2.1823e+00 4.9886e+02 1.3695e+02
2.1864e+00 4.9791e+02 1.3633e+02
2.1905e+00 4.9713e+02 1.3589e+02
2.1946e+00 4.9589e+02 1.3529e+02
2.1987e+00 4.9525e+02 1.3495e+02
2.2028e+00 4.9435e+02 1.3447e+02
2.2069e+00 4.9303e+02 1.3369e+02
2.2110e+00 4.9136e+02 1.3316e+02
2.2151e+00 4.9167e+02 1.3287e+02
2.2191e+00 4.9130e+02 1.3252e+02
2.2232e+00 4.8983e+02 1.3205e+02
2.2273e+00 4.8870e+02 1.3145e+02
2.2314e+00 4.8792e+02 1.3101e+02
2.2355e+00 4.8674e+02 1.3050e+02
2.2396e+00 4.8560e+02 1.2988e+02
2.2437e+00 4.8459e+02 1.2945e+02
2.2478e+00 4.8367e+02 1.2897e+02
2.2519e+00 4.8320e+02 1.2869e+02
2.2560e+00 4.8145e+02 1.2799e+02
2.2601e+00 4.8047e+02 1.2737e+02
2.2642e+00 4.8007e+02 1.2706e+02
2.2682e+00 4.7943e+02 1.2666e+02
2.2723e+00 4.7862e+02 1.2616e+02
2.2764e+00 4.7721e+02 1.2569e+02
2.2805e+00 4.7683e+02 1.2534e+02
2.2846e+00 4.7547e+02 1.2476e+02
2.2887e+00 4.7477e+02 1.2429e+02
2.2928e+00 4.7284e+02 1.2364e+02
2.2969e+00 4.7297e+02 1.2338e+02
2.3010e+00 4.7109e+02 1.2271e+02
2.3051e+00 4.7063e+02 1.2229e+02
2.3091e+00 4.6985e+02 1.2195e+02
2.3132e+00 4.6863e+02 1.2152e+02
