# Halo auto- and cross-power spectra.
# Robust average of 10 spectra using sqrt(1+x^2).
# 12.50<lgM<13.00, z=2.000
#      k[h/Mpc]           <Phh>        Err[Phh]           <Phm>        Err[Phm]
    1.31512e+00     2.30022e+03     1.24340e+00     8.52612e+01     9.75063e-02
    1.31921e+00     2.29410e+03     1.14363e+00     8.48603e+01     5.07782e-02
    1.32331e+00     2.29409e+03     5.12341e-01     8.46257e+01     7.30383e-02
    1.32739e+00     2.28935e+03     1.07087e+00     8.41329e+01     1.19932e-01
    1.33148e+00     2.28482e+03     5.91562e-01     8.39161e+01     4.35280e-02
    1.33558e+00     2.28117e+03     1.33180e+00     8.36438e+01     7.12816e-02
    1.33967e+00     2.27957e+03     9.24249e-01     8.33063e+01     6.96216e-02
    1.34376e+00     2.27488e+03     4.96661e-01     8.29259e+01     5.23919e-02
    1.34785e+00     2.27200e+03     1.07207e+00     8.26679e+01     6.20137e-02
    1.35195e+00     2.26810e+03     1.05933e+00     8.23642e+01     7.21431e-02
    1.35603e+00     2.26517e+03     1.23815e+00     8.20712e+01     7.67190e-02
