# Real space h-h auto- and h-m cross-spectra.
# z=0.500, 12.500<lgM<13.000
#      k[h/Mpc]            P_hh            P_hm
    1.70373e+00     8.44856e+02     6.24414e+01
    1.70782e+00     8.44694e+02     6.24681e+01
    1.71191e+00     8.42876e+02     6.21166e+01
    1.71600e+00     8.39874e+02     6.17594e+01
    1.72009e+00     8.40589e+02     6.15423e+01
    1.72418e+00     8.39165e+02     6.15267e+01
    1.72828e+00     8.37863e+02     6.13731e+01
    1.73237e+00     8.36692e+02     6.08867e+01
    1.73646e+00     8.34668e+02     6.09105e+01
    1.74055e+00     8.34283e+02     6.09585e+01
    1.74464e+00     8.32224e+02     6.06468e+01
    1.74874e+00     8.31661e+02     6.04004e+01
    1.75282e+00     8.29585e+02     5.99741e+01
    1.75691e+00     8.28025e+02     5.99672e+01
    1.76100e+00     8.28098e+02     6.00840e+01
    1.76509e+00     8.25018e+02     5.98149e+01
    1.76918e+00     8.24334e+02     5.96418e+01
    1.77327e+00     8.23039e+02     5.91616e+01
    1.77737e+00     8.20852e+02     5.91744e+01
    1.78146e+00     8.21291e+02     5.89316e+01
    1.78554e+00     8.20002e+02     5.88173e+01
    1.78964e+00     8.18134e+02     5.87091e+01
    1.79373e+00     8.18394e+02     5.85383e+01
    1.79782e+00     8.15093e+02     5.80457e+01
    1.80191e+00     8.14093e+02     5.82625e+01
    1.80600e+00     8.13011e+02     5.80263e+01
    1.81009e+00     8.12423e+02     5.77316e+01
    1.81418e+00     8.12366e+02     5.78088e+01
    1.81827e+00     8.09775e+02     5.73357e+01
    1.82236e+00     8.07616e+02     5.73641e+01
    1.82645e+00     8.06202e+02     5.69489e+01
    1.83054e+00     8.05341e+02     5.70588e+01
    1.83463e+00     8.04553e+02     5.69126e+01
    1.83872e+00     8.03619e+02     5.65888e+01
    1.84281e+00     8.03557e+02     5.66150e+01
    1.84691e+00     8.01987e+02     5.62613e+01
    1.85100e+00     7.99148e+02     5.61676e+01
    1.85509e+00     7.97647e+02     5.60866e+01
    1.85918e+00     7.96929e+02     5.60487e+01
    1.86327e+00     7.95546e+02     5.58393e+01
    1.86736e+00     7.95853e+02     5.57525e+01
    1.87145e+00     7.92639e+02     5.52030e+01
    1.87554e+00     7.92804e+02     5.52856e+01
    1.87963e+00     7.89956e+02     5.50310e+01
    1.88372e+00     7.90634e+02     5.50329e+01
    1.88781e+00     7.88339e+02     5.47605e+01
    1.89190e+00     7.86856e+02     5.46958e+01
    1.89599e+00     7.86199e+02     5.44589e+01
    1.90008e+00     7.83647e+02     5.40984e+01
    1.90417e+00     7.83677e+02     5.41923e+01
    1.90827e+00     7.81597e+02     5.40173e+01
    1.91236e+00     7.79992e+02     5.38266e+01
    1.91645e+00     7.79544e+02     5.38472e+01
    1.92054e+00     7.77839e+02     5.36406e+01
    1.92463e+00     7.77994e+02     5.33419e+01
    1.92872e+00     7.76348e+02     5.31600e+01
    1.93281e+00     7.74557e+02     5.34180e+01
    1.93690e+00     7.72502e+02     5.29377e+01
    1.94099e+00     7.71616e+02     5.28555e+01
    1.94508e+00     7.71662e+02     5.28259e+01
    1.94917e+00     7.70039e+02     5.27091e+01
    1.95326e+00     7.69125e+02     5.24646e+01
    1.95735e+00     7.67137e+02     5.24246e+01
    1.96144e+00     7.67054e+02     5.23915e+01
    1.96553e+00     7.65503e+02     5.19336e+01
    1.96962e+00     7.64102e+02     5.20007e+01
    1.97371e+00     7.62738e+02     5.18907e+01
    1.97781e+00     7.62330e+02     5.14922e+01
    1.98190e+00     7.60318e+02     5.15363e+01
    1.98599e+00     7.59413e+02     5.15072e+01
    1.99008e+00     7.56738e+02     5.10562e+01
    1.99417e+00     7.56348e+02     5.11081e+01
    1.99826e+00     7.54903e+02     5.09582e+01
    2.00235e+00     7.54165e+02     5.08745e+01
    2.00644e+00     7.53841e+02     5.08415e+01
    2.01053e+00     7.50649e+02     5.04729e+01
    2.01462e+00     7.50110e+02     5.04011e+01
    2.01871e+00     7.49767e+02     5.02840e+01
    2.02280e+00     7.48494e+02     5.02398e+01
    2.02689e+00     7.45841e+02     4.98922e+01
