# Real space auto- and cross-spectra.
# z=3.000, 12.000<lgM<12.500
#      k[h/Mpc]            P_hh            P_hm            P_mm
    8.97875e-01     1.53393e+03     7.23829e+01     1.24922e+01
    9.01960e-01     1.52991e+03     7.21153e+01     1.24139e+01
    9.06054e-01     1.53068e+03     7.16232e+01     1.22835e+01
    9.10146e-01     1.52084e+03     7.10314e+01     1.21824e+01
    9.14237e-01     1.51696e+03     7.05791e+01     1.20869e+01
    9.18331e-01     1.51225e+03     7.00239e+01     1.20024e+01
    9.22421e-01     1.51249e+03     6.95122e+01     1.18763e+01
    9.26509e-01     1.50895e+03     6.91943e+01     1.17764e+01
    9.30598e-01     1.50538e+03     6.86480e+01     1.17033e+01
    9.34692e-01     1.50528e+03     6.84530e+01     1.16132e+01
    9.38787e-01     1.50122e+03     6.78469e+01     1.14999e+01
    9.42873e-01     1.49473e+03     6.73848e+01     1.13938e+01
    9.46961e-01     1.49909e+03     6.70059e+01     1.12997e+01
    9.51054e-01     1.49196e+03     6.66909e+01     1.12162e+01
    9.55150e-01     1.48887e+03     6.63297e+01     1.11341e+01
    9.59240e-01     1.48312e+03     6.58093e+01     1.10213e+01
    9.63327e-01     1.48157e+03     6.53031e+01     1.09592e+01
    9.67420e-01     1.47506e+03     6.48670e+01     1.08667e+01
    9.71506e-01     1.47902e+03     6.47822e+01     1.07827e+01
    9.75588e-01     1.47328e+03     6.41868e+01     1.06979e+01
    9.79678e-01     1.47175e+03     6.43014e+01     1.06555e+01
    9.83773e-01     1.46419e+03     6.32548e+01     1.05096e+01
    9.87866e-01     1.46495e+03     6.30406e+01     1.04730e+01
    9.91960e-01     1.45764e+03     6.25556e+01     1.03618e+01
    9.96055e-01     1.45936e+03     6.25477e+01     1.03255e+01
    1.00015e+00     1.45118e+03     6.19241e+01     1.02336e+01
    1.00424e+00     1.44674e+03     6.12784e+01     1.01411e+01
    1.00832e+00     1.44758e+03     6.13347e+01     1.00920e+01
    1.01242e+00     1.44325e+03     6.09050e+01     1.00047e+01
    1.01651e+00     1.44322e+03     6.07702e+01     9.93043e+00
    1.02059e+00     1.43827e+03     6.00773e+01     9.81028e+00
    1.02468e+00     1.43293e+03     5.94193e+01     9.71182e+00
    1.02878e+00     1.43197e+03     5.92191e+01     9.67627e+00
    1.03287e+00     1.42912e+03     5.87386e+01     9.58931e+00
    1.03695e+00     1.43012e+03     5.87913e+01     9.54064e+00
    1.04105e+00     1.42407e+03     5.81474e+01     9.44734e+00
    1.04515e+00     1.42474e+03     5.79954e+01     9.40109e+00
    1.04923e+00     1.41695e+03     5.76972e+01     9.31757e+00
    1.05332e+00     1.41434e+03     5.73873e+01     9.27035e+00
    1.05741e+00     1.41090e+03     5.68136e+01     9.17683e+00
    1.06150e+00     1.41153e+03     5.68702e+01     9.12392e+00
    1.06559e+00     1.40760e+03     5.64765e+01     9.05719e+00
    1.06968e+00     1.40686e+03     5.60710e+01     9.00110e+00
    1.07377e+00     1.40221e+03     5.57645e+01     8.91499e+00
    1.07786e+00     1.39814e+03     5.52278e+01     8.84530e+00
    1.08195e+00     1.39705e+03     5.50359e+01     8.78606e+00
    1.08605e+00     1.39390e+03     5.48198e+01     8.73394e+00
    1.09014e+00     1.39120e+03     5.45024e+01     8.69493e+00
    1.09422e+00     1.38916e+03     5.40249e+01     8.59488e+00
