# k, phh, phm/ 
1.9124e+00 4.9827e+02 1.6228e+02
1.9164e+00 4.9694e+02 1.6156e+02
1.9205e+00 4.9633e+02 1.6116e+02
1.9246e+00 4.9494e+02 1.6042e+02
1.9287e+00 4.9454e+02 1.6000e+02
1.9328e+00 4.9321e+02 1.5923e+02
1.9369e+00 4.9299e+02 1.5879e+02
1.9410e+00 4.9095e+02 1.5792e+02
1.9451e+00 4.9163e+02 1.5770e+02
1.9492e+00 4.8963e+02 1.5673e+02
1.9533e+00 4.8936e+02 1.5654e+02
1.9573e+00 4.8800e+02 1.5568e+02
1.9614e+00 4.8760e+02 1.5527e+02
1.9655e+00 4.8694e+02 1.5508e+02
1.9696e+00 4.8563e+02 1.5404e+02
1.9737e+00 4.8450e+02 1.5352e+02
1.9778e+00 4.8380e+02 1.5290e+02
1.9819e+00 4.8234e+02 1.5221e+02
1.9860e+00 4.8218e+02 1.5174e+02
1.9901e+00 4.8173e+02 1.5138e+02
1.9942e+00 4.8066e+02 1.5066e+02
1.9983e+00 4.8003e+02 1.5020e+02
2.0024e+00 4.7918e+02 1.4992e+02
2.0064e+00 4.7783e+02 1.4909e+02
2.0105e+00 4.7708e+02 1.4858e+02
2.0146e+00 4.7603e+02 1.4803e+02
2.0187e+00 4.7540e+02 1.4752e+02
2.0228e+00 4.7394e+02 1.4680e+02
2.0269e+00 4.7388e+02 1.4631e+02
2.0310e+00 4.7321e+02 1.4601e+02
2.0351e+00 4.7269e+02 1.4562e+02
2.0392e+00 4.7073e+02 1.4479e+02
2.0433e+00 4.7009e+02 1.4411e+02
2.0473e+00 4.7017e+02 1.4378e+02
2.0514e+00 4.6874e+02 1.4321e+02
2.0555e+00 4.6734e+02 1.4250e+02
2.0596e+00 4.6708e+02 1.4232e+02
2.0637e+00 4.6603e+02 1.4161e+02
2.0678e+00 4.6485e+02 1.4097e+02
2.0719e+00 4.6464e+02 1.4067e+02
2.0760e+00 4.6307e+02 1.4001e+02
2.0801e+00 4.6321e+02 1.3974e+02
2.0842e+00 4.6196e+02 1.3906e+02
2.0883e+00 4.6101e+02 1.3848e+02
2.0923e+00 4.6054e+02 1.3815e+02
2.0964e+00 4.5917e+02 1.3727e+02
2.1005e+00 4.5869e+02 1.3700e+02
2.1046e+00 4.5759e+02 1.3640e+02
2.1087e+00 4.5696e+02 1.3607e+02
2.1128e+00 4.5534e+02 1.3524e+02
2.1169e+00 4.5536e+02 1.3500e+02
2.1210e+00 4.5439e+02 1.3454e+02
2.1251e+00 4.5320e+02 1.3390e+02
2.1292e+00 4.5250e+02 1.3349e+02
2.1332e+00 4.5216e+02 1.3307e+02
2.1373e+00 4.5178e+02 1.3270e+02
2.1414e+00 4.4975e+02 1.3195e+02
2.1455e+00 4.4883e+02 1.3133e+02
2.1496e+00 4.4867e+02 1.3113e+02
2.1537e+00 4.4743e+02 1.3047e+02
2.1578e+00 4.4630e+02 1.2990e+02
2.1619e+00 4.4586e+02 1.2959e+02
2.1660e+00 4.4546e+02 1.2907e+02
2.1701e+00 4.4370e+02 1.2829e+02
2.1742e+00 4.4343e+02 1.2813e+02
2.1782e+00 4.4212e+02 1.2735e+02
2.1823e+00 4.4116e+02 1.2699e+02
2.1864e+00 4.4069e+02 1.2654e+02
2.1905e+00 4.4053e+02 1.2646e+02
2.1946e+00 4.3879e+02 1.2554e+02
2.1987e+00 4.3828e+02 1.2528e+02
2.2028e+00 4.3756e+02 1.2464e+02
2.2069e+00 4.3655e+02 1.2425e+02
2.2110e+00 4.3629e+02 1.2383e+02
2.2151e+00 4.3495e+02 1.2315e+02
2.2191e+00 4.3501e+02 1.2302e+02
2.2232e+00 4.3393e+02 1.2265e+02
2.2273e+00 4.3239e+02 1.2184e+02
2.2314e+00 4.3187e+02 1.2151e+02
2.2355e+00 4.3015e+02 1.2074e+02
2.2396e+00 4.3016e+02 1.2062e+02
2.2437e+00 4.2921e+02 1.2019e+02
2.2478e+00 4.2941e+02 1.2002e+02
2.2519e+00 4.2752e+02 1.1910e+02
2.2560e+00 4.2654e+02 1.1871e+02
2.2601e+00 4.2587e+02 1.1820e+02
2.2642e+00 4.2602e+02 1.1810e+02
2.2682e+00 4.2413e+02 1.1735e+02
2.2723e+00 4.2315e+02 1.1684e+02
2.2764e+00 4.2256e+02 1.1648e+02
2.2805e+00 4.2217e+02 1.1619e+02
2.2846e+00 4.2113e+02 1.1559e+02
2.2887e+00 4.2052e+02 1.1538e+02
2.2928e+00 4.1917e+02 1.1472e+02
2.2969e+00 4.1834e+02 1.1428e+02
2.3010e+00 4.1790e+02 1.1392e+02
2.3051e+00 4.1708e+02 1.1356e+02
2.3091e+00 4.1624e+02 1.1297e+02
2.3132e+00 4.1541e+02 1.1264e+02
2.3173e+00 4.1408e+02 1.1215e+02
2.3214e+00 4.1378e+02 1.1187e+02
2.3255e+00 4.1268e+02 1.1127e+02
